Year,CO2(ppmv),CH4,temp,Irish Anomaly,Global Anomaly
-12604,240.79500000000002,468.6689331,-58.424999999999976,,
-12613,239.86,468.1178193882353,-58.59999999999998,,
-12625,239.77,467.5667056764706,-58.774999999999984,,
-12629,238.87,467.0155919647059,-58.94999999999999,,
-12636,237.97,466.4644782529412,-57.88333333333332,,
-12645,235.31,465.91336454117646,-56.81666666666664,,
-12656,237.59,465.3622508294118,-55.74999999999997,,
-12669,237.97,464.8111371176471,-56.24999999999997,,
-12679,240.1,464.26002340588235,-56.74999999999997,,
-12695,238.12,463.70890969411766,-56.84999999999998,,
-12702,234.62,463.1577959823529,-56.94999999999999,,
-12714,233.42,462.60668227058824,-57.19999999999999,,
-12725,234.34,462.05556855882355,-57.44999999999999,,
-12736,237.49,461.5044548470588,-57.38333333333332,,
-12746,228.91,460.9533411352941,-57.31666666666664,,
-12750,228.54500000000002,460.40222742352944,-57.24999999999997,,
-12756,228.18,459.8511137117647,-57.37499999999997,,
-12760,229.35500000000002,459.3,-57.49999999999997,,
-12768,230.53,459.85600787894737,-57.62499999999997,,
-12775,232.535,460.4120157578947,-57.74999999999997,,
-12780,234.54,460.96802363684213,-57.58333333333331,,
-12793,231.48,461.5240315157895,-57.416666666666636,,
-12800,229.69,462.08003939473684,-57.24999999999997,,
-12808,227.9,462.6360472736842,-57.949999999999974,,
-12813,224.64,463.19205515263155,-58.64999999999998,,
-12826,227.39,463.74806303157897,-59.34999999999998,,
-12828,227.58999999999997,464.3040709105263,-60.04999999999998,,
-12837,227.79,464.8600787894737,-59.54999999999998,,
-12849,228.5,465.41608666842103,-59.04999999999998,,
-12856,228.04000000000002,465.97209454736844,-58.54999999999998,,
-12860,227.58,466.5281024263158,-58.183333333333316,,
-12872,226.51,467.08411030526315,-57.816666666666656,,
-12884,228.4,467.6401181842105,-57.44999999999999,,
-12894,227.87,468.19612606315786,-57.94999999999999,,
-12907,233.17,468.7521339421053,-58.44999999999999,,
-12912,232.695,469.30814182105263,-58.94999999999999,,
-12919,232.22,469.8641497,-58.94999999999999,,
-12930,227.85,470.44773473,-58.94999999999999,,
-12940,229.24,471.03131976,-58.94999999999999,,
-12942,230.63,471.61490478999997,-58.774999999999984,,
-12954,228.72,472.19848981999996,-58.59999999999998,,
-12965,228.36,472.78207484999996,-58.424999999999976,,
-12968,228.41500000000002,473.36565988,-58.24999999999997,,
-12979,228.47,473.94924491,-58.79999999999997,,
-12997,228.68,474.53282994,-59.349999999999966,,
-13003,228.89,475.11641497,-59.21666666666664,,
-13016,229.33999999999997,475.7,-59.083333333333314,,
-13026,229.79,474.95351246470585,-58.94999999999999,,
-13037,227.65,474.2070249294118,-59.54999999999998,,
-13055,228.01,473.46053739411764,-60.14999999999998,,
-13061,228.37,472.7140498588235,-59.98333333333331,,
-13084,225.38,471.9675623235294,-59.81666666666664,,
-13086,226.58333333333334,471.2210747882353,-59.64999999999998,,
-13117,227.78666666666666,470.47458725294115,-58.94999999999999,,
-13122,228.99,469.72809971764707,-59.21666666666665,,
-13145,234.47,468.98161218235293,-59.48333333333331,,
-13148,232.87,468.23512464705885,-59.74999999999997,,
-13178,231.26999999999998,467.4886371117647,-59.14999999999998,,
-13183,229.67,466.7421495764706,-58.883333333333304,,
-13206,228.81,465.9956620411765,-58.61666666666664,,
-13208,228.325,465.24917450588237,-58.349999999999966,,
-13231,227.84,464.50268697058823,-58.54999999999997,,
-13237,228.425,463.75619943529415,-58.74999999999997,,
-13252,229.01,463.0097119,-58.89999999999998,,
-13266,229.595,451.0,-59.04999999999998,,
-13268,230.18,451.05833333333334,-58.81666666666664,,
-13293,228.27,451.1166666666667,-58.58333333333331,,
-13295,227.43666666666667,451.175,-58.349999999999966,,
-13323,226.60333333333335,451.23333333333335,-58.74999999999997,,
-13330,225.77,451.2916666666667,-58.84999999999998,,
-13353,226.70499999999998,451.35,-58.94999999999999,,
-13370,227.64,451.4083333333333,-59.59999999999998,,
-13384,228.27999999999997,451.46666666666664,-60.24999999999997,,
-13395,228.92,451.525,-58.64999999999998,,
-13414,227.15499999999997,451.5833333333333,-57.04999999999998,,
-13432,225.39,451.64166666666665,-57.78333333333331,,
-13442,225.17333333333332,451.7,-58.516666666666644,,
-13443,224.95666666666668,450.5533722111111,-59.24999999999997,,
-13460,224.74,449.40674442222223,-59.54999999999997,,
-13471,224.25,448.2601166333333,-59.849999999999966,,
-13500,223.76000000000002,447.1134888444444,-59.849999999999966,,
-13512,223.27,445.96686105555557,-59.29999999999997,,
-13531,223.322,444.82023326666666,-58.74999999999997,,
-13561,223.374,443.67360547777776,-58.849999999999966,,
-13591,223.42600000000002,442.5269776888889,-59.24999999999997,,
-13595,223.478,441.3803499,-59.199999999999974,,
-13596,223.53,448.69017495,-59.14999999999998,,
-13605,223.376,456.0,-59.09999999999998,,
-13621,223.222,454.8615384615385,-59.04999999999998,,
-13652,223.06799999999998,453.7230769230769,-59.44999999999999,,
-13682,222.914,452.5846153846154,-59.849999999999966,,
-13699,222.76,451.44615384615383,-60.14999999999998,,
-13715,222.56,450.3076923076923,-60.44999999999999,,
-13748,222.35999999999999,449.16923076923075,-60.14999999999998,,
-13754,222.16,448.03076923076924,-60.24999999999997,,
-13781,223.06,446.89230769230767,-60.349999999999966,,
-13815,223.96,445.75384615384615,-60.24999999999997,,
-13817,224.86,444.6153846153846,-60.34999999999998,,
-13848,224.02666666666667,443.4769230769231,-60.44999999999999,,
-13882,223.19333333333336,442.3384615384615,-60.349999999999966,,
-13894,222.36,441.2,-59.89999999999998,,
-13914,222.59,439.81933365,-59.44999999999999,,
-13915,222.82,438.4386673,-59.583333333333314,,
-13920,223.05,473.3,-59.71666666666664,,
-13947,223.28,468.33636363636367,-59.849999999999966,,
-13970,223.51,463.3727272727273,-59.949999999999974,,
-13979,223.64,458.40909090909093,-60.04999999999998,,
-13986,223.77,453.44545454545454,-60.34999999999998,,
-14012,223.745,448.4818181818182,-60.64999999999998,,
-14045,223.72,443.5181818181818,-59.849999999999966,,
-14048,224.41,438.55454545454546,-60.24999999999997,,
-14064,222.39,433.59090909090907,-60.64999999999998,,
-14079,223.435,428.6272727272727,-61.04999999999998,,
-14083,224.48,423.66363636363633,-60.51666666666665,,
-14110,224.4,418.7,-59.98333333333332,,
-14112,224.32,419.1166666666667,-59.44999999999999,,
-14133,224.24,419.5333333333333,-59.749999999999986,,
-14145,223.325,419.95,-60.04999999999998,,
-14164,222.41,420.3666666666667,-59.999999999999986,,
-14178,223.635,420.7833333333333,-59.94999999999999,,
