year,data_mean_global,data_mean_nh,data_mean_sh
2148,1717.079911,1721.873056,1712.286766
2149,1727.239912,1731.98605,1722.493773
2150,1737.319913,1742.019055,1732.62077
2151,1747.289913,1751.942062,1742.637765
2152,1757.169914,1761.775075,1752.564754
2153,1766.949915,1771.508112,1762.391718
2154,1776.639916,1781.151122,1772.12871
2155,1786.219917,1790.684114,1781.75572
2156,1795.699918,1800.117121,1791.282714
2157,1805.079919,1809.450143,1800.709694
2158,1814.35992,1818.683153,1810.036686
2159,1823.53992,1827.81616,1819.26368
2160,1832.609921,1836.839168,1828.380675
2161,1841.579922,1845.762175,1837.397669
2162,1850.459923,1854.595185,1846.324661
2163,1859.219924,1863.308207,1855.131641
2164,1867.889925,1871.931214,1863.848635
2165,1876.449926,1880.444206,1872.455645
2166,1884.899927,1888.847213,1880.95264
2167,1893.239927,1897.140238,1889.339616
2168,1901.489928,1905.343263,1897.636593
2169,1909.619929,1913.426273,1905.813585
2170,1917.64993,1921.409283,1913.890577
2171,1925.579931,1929.2923,1921.867562
2172,1933.399932,1937.065285,1929.734579
2173,1941.109933,1944.728314,1937.491551
2174,1948.709933,1952.281312,1945.138555
2175,1956.209934,1959.734319,1952.68555
2176,1963.599935,1967.077341,1960.122529
2177,1970.879936,1974.310351,1967.449521
2178,1978.049937,1981.433358,1974.666516
2179,1985.109938,1988.446365,1981.77351
2180,1992.069939,1995.359375,1988.780502
2181,1998.92994,2002.172395,1995.687484
2182,2005.66994,2008.865392,2002.474489
2183,2012.299941,2015.448414,2009.151468
2184,2018.829942,2021.931434,2015.72845
2185,2025.249943,2028.304419,2022.195467
2186,2031.559944,2034.567449,2028.552439
2187,2037.759945,2040.720451,2034.799439
2188,2043.849946,2046.763481,2040.936411
2189,2049.809947,2052.676465,2046.943428
2190,2055.659947,2058.479485,2052.84041
2191,2061.419948,2064.192508,2058.647389
2192,2067.089949,2069.815505,2064.364394
2193,2072.63995,2075.318524,2069.961376
2194,2078.059951,2080.691534,2075.428368
2195,2083.379952,2085.964539,2080.795365
2196,2088.589953,2091.127533,2086.052372
2197,2093.679954,2096.170556,2091.189351
2198,2098.669954,2101.113581,2096.226328
2199,2103.539955,2105.93659,2101.14332
2200,2108.309956,2110.6596,2105.960312
2201,2112.959957,2115.262618,2110.657297
2202,2117.509958,2119.765602,2115.254314
2203,2121.949959,2124.158632,2119.741286
2204,2126.26996,2128.431632,2124.108288
2205,2130.489961,2132.604651,2128.37527
2206,2134.589961,2136.657659,2132.522264
2207,2138.599962,2140.620656,2136.579269
2208,2142.479963,2144.453686,2140.506241
2209,2146.259964,2148.186673,2144.333255
2210,2149.929965,2151.809703,2148.050227
2211,2153.479966,2155.3127,2151.647232
2212,2156.919967,2158.705707,2155.134226
2213,2160.239967,2161.978732,2158.501203
2214,2163.459968,2165.151754,2161.768182
2215,2166.569969,2168.214751,2164.925187
2216,2169.57997,2171.177769,2167.982172
2217,2172.479971,2174.030766,2170.929176
2218,2175.269972,2176.773786,2173.766158
2219,2177.929973,2179.386795,2176.47315
2220,2180.489974,2181.899805,2179.080142
2221,2182.949974,2184.312822,2181.587126
2222,2185.289975,2186.605807,2183.974144
2223,2187.519976,2188.788839,2186.251113
2224,2189.649977,2190.871852,2188.428102
2225,2191.669978,2192.844856,2190.4951
2226,2193.569979,2194.697851,2192.442107
2227,2195.32998,2196.410873,2194.249086
2228,2197.009981,2198.043898,2195.976063
2229,2198.589981,2199.576908,2197.603055
2230,2200.069982,2201.009915,2199.130049
2231,2201.429983,2202.32292,2200.537047
2232,2202.659984,2203.505914,2201.814054
2233,2203.789985,2204.588937,2202.991033
2234,2204.809986,2205.561959,2204.058012
2235,2205.729987,2206.434956,2205.025017
2236,2206.529988,2207.187974,2205.872001
2237,2207.229988,2207.840973,2206.619004
2238,2207.809989,2208.374006,2207.245973
2239,2208.28999,2208.807003,2207.772977
2240,2208.649991,2209.120008,2208.179975
2241,2208.909992,2209.333012,2208.486972
2242,2209.069993,2209.446012,2208.693974
2243,2209.109994,2209.439062,2208.780925
2244,2209.029995,2209.312074,2208.747915
2245,2208.839995,2209.075066,2208.604924
2246,2208.569996,2208.758071,2208.381922
2247,2208.189997,2208.331083,2208.048911
2248,2207.689998,2207.784118,2207.595878
2249,2207.069999,2207.117115,2207.022882
2250,2206.35,2206.355994,2206.344005
2251,2205.52,2205.52012,2205.519879
2252,2204.64,2204.64012,2204.639879
2253,2203.75,2203.75012,2203.749879
2254,2202.86,2202.86012,2202.859879
2255,2201.97,2201.97012,2201.969879
2256,2201.1,2201.10012,2201.099879
2257,2200.22,2200.22012,2200.219879
2258,2199.34,2199.34012,2199.339879
2259,2198.44,2198.44012,2198.439879
2260,2197.54,2197.54012,2197.539879
2261,2196.63,2196.63012,2196.629879
2262,2195.73,2195.73012,2195.729879
2263,2194.83,2194.83012,2194.829879
2264,2193.95,2193.95012,2193.949879
2265,2193.06,2193.06012,2193.059879
2266,2192.16,2192.16012,2192.159879
2267,2191.25,2191.25012,2191.249879
2268,2190.34,2190.34012,2190.339879
2269,2189.43,2189.43012,2189.429879
2270,2188.53,2188.53012,2188.529879
2271,2187.62,2187.62012,2187.619879
2272,2186.72,2186.72012,2186.719879
2273,2185.82,2185.82012,2185.819879
2274,2184.9,2184.90012,2184.899879
2275,2183.99,2183.99012,2183.989879
2276,2183.09,2183.09012,2183.089879
2277,2182.19,2182.19012,2182.189879
2278,2181.29,2181.29012,2181.289879
2279,2180.4,2180.40012,2180.399879
2280,2179.5,2179.50012,2179.499879
2281,2178.6,2178.60012,2178.599879
2282,2177.7,2177.70012,2177.699879
2283,2176.8,2176.80012,2176.799879
2284,2175.91,2175.91012,2175.909879
2285,2175.01,2175.01012,2175.009879
2286,2174.12,2174.12012,2174.119879
2287,2173.23,2173.23012,2173.229879
2288,2172.34,2172.34012,2172.339879
2289,2171.46,2171.46012,2171.459879
2290,2170.57,2170.57012,2170.569879
2291,2169.68,2169.68012,2169.679879
2292,2168.79,2168.79012,2168.789879
2293,2167.91,2167.91012,2167.909879
2294,2167.03,2167.03012,2167.029879
2295,2166.14,2166.14012,2166.139879
2296,2165.27,2165.27012,2165.269879
2297,2164.4,2164.40012,2164.399879
2298,2163.52,2163.52012,2163.519879
2299,2162.63,2162.63012,2162.629879
2300,2161.74,2161.74012,2161.739879
2301,2160.87,2160.87012,2160.869879
2302,2160,2160.00012,2159.999879
2303,2159.14,2159.14012,2159.139879
2304,2158.27,2158.27012,2158.269879
2305,2157.4,2157.40012,2157.399879
2306,2156.53,2156.53012,2156.529879
2307,2155.66,2155.66012,2155.659879
2308,2154.79,2154.79012,2154.789879
2309,2153.92,2153.92012,2153.919879
2310,2153.06,2153.06012,2153.059879
2311,2152.22,2152.22012,2152.219879
2312,2151.37,2151.37012,2151.369879
2313,2150.52,2150.52012,2150.519879
2314,2149.66,2149.66012,2149.659879
2315,2148.81,2148.81012,2148.809879
2316,2147.95,2147.95012,2147.949879
2317,2147.09,2147.09012,2147.089879
2318,2146.24,2146.24012,2146.239879
2319,2145.39,2145.39012,2145.389879
2320,2144.54,2144.54012,2144.539879
2321,2143.7,2143.70012,2143.699879
2322,2142.86,2142.86012,2142.859879
2323,2142.02,2142.02012,2142.019879
2324,2141.17,2141.17012,2141.169879
2325,2140.31,2140.31012,2140.309879
2326,2139.46,2139.46012,2139.459879
2327,2138.62,2138.62012,2138.619879
2328,2137.8,2137.80012,2137.799879
2329,2136.96,2136.96012,2136.959879
2330,2136.14,2136.14012,2136.139879
2331,2135.32,2135.32012,2135.319879
2332,2134.47,2134.47012,2134.469879
2333,2133.62,2133.62012,2133.619879
2334,2132.8,2132.80012,2132.799879
2335,2131.99,2131.99012,2131.989879
2336,2131.14,2131.14012,2131.139879
2337,2130.29,2130.29012,2130.289879
2338,2129.47,2129.47012,2129.469879
2339,2128.65,2128.65012,2128.649879
2340,2127.83,2127.83012,2127.829879
2341,2127,2127.00012,2126.999879
2342,2126.18,2126.18012,2126.179879
2343,2125.38,2125.38012,2125.379879
2344,2124.57,2124.57012,2124.569879
2345,2123.75,2123.75012,2123.749879
2346,2122.92,2122.92012,2122.919879
2347,2122.1,2122.10012,2122.099879
2348,2121.29,2121.29012,2121.289879
2349,2120.48,2120.48012,2120.479879
2350,2119.67,2119.67012,2119.669879
2351,2118.86,2118.86012,2118.859879
2352,2118.05,2118.05012,2118.049879
2353,2117.24,2117.24012,2117.239879
2354,2116.43,2116.43012,2116.429879
2355,2115.63,2115.63012,2115.629879
2356,2114.82,2114.82012,2114.819879
2357,2114.02,2114.02012,2114.019879
2358,2113.21,2113.21012,2113.209879
2359,2112.41,2112.41012,2112.409879
2360,2111.6,2111.60012,2111.599879
2361,2110.81,2110.81012,2110.809879
2362,2110.01,2110.01012,2110.009879
2363,2109.22,2109.22012,2109.219879
2364,2108.42,2108.42012,2108.419879
2365,2107.62,2107.62012,2107.619879
2366,2106.83,2106.83012,2106.829879
2367,2106.03,2106.03012,2106.029879
2368,2105.24,2105.24012,2105.239879
2369,2104.45,2104.45012,2104.449879
2370,2103.66,2103.66012,2103.659879
2371,2102.88,2102.88012,2102.879879
2372,2102.09,2102.09012,2102.089879
2373,2101.3,2101.30012,2101.299879
2374,2100.53,2100.53012,2100.529879
2375,2099.74,2099.74012,2099.739879
2376,2098.95,2098.95012,2098.949879
2377,2098.17,2098.17012,2098.169879
2378,2097.39,2097.39012,2097.389879
2379,2096.61,2096.61012,2096.609879
2380,2095.83,2095.83012,2095.829879
2381,2095.04,2095.04012,2095.039879
2382,2094.26,2094.26012,2094.259879
2383,2093.49,2093.49012,2093.489879
2384,2092.73,2092.73012,2092.729879
2385,2091.95,2091.95012,2091.949879
2386,2091.17,2091.17012,2091.169879
2387,2090.39,2090.39012,2090.389879
2388,2089.62,2089.62012,2089.619879
2389,2088.87,2088.87012,2088.869879
2390,2088.09,2088.09012,2088.089879
2391,2087.3,2087.30012,2087.299879
2392,2086.55,2086.55012,2086.549879
2393,2085.8,2085.80012,2085.799879
2394,2085.03,2085.03012,2085.029879
2395,2084.25,2084.25012,2084.249879
2396,2083.48,2083.48012,2083.479879
