year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.9491312,401.6780826,398.2201798
2016,403.1169628,405.1068191,401.1271066
2017,405.7509627,407.7496858,403.7522395
2018,408.5869627,410.581515,406.5924105
2019,411.4049626,413.4092452,409.4006799
2020,414.2139626,416.2170785,412.2108467
2021,417.0139638,418.9505303,415.0773974
2022,419.6989653,421.5580852,417.8398453
2023,422.1699667,423.9516401,420.3882933
2024,424.4429681,426.147195,422.7387412
2025,426.5249696,428.1517499,424.8981892
2026,428.425971,429.9753049,426.8766371
2027,430.1509724,431.6228598,428.6790851
2028,431.7059739,433.1004147,430.3115331
2029,433.0959753,434.4129696,431.778981
2030,434.3239767,435.5639795,433.083974
2031,435.3939781,436.5597191,434.2282371
2032,436.3369795,437.4289138,435.2450452
2033,437.1789809,438.1971084,436.1608533
2034,437.9169822,438.861303,436.9726614
2035,438.5529836,439.4234977,437.6824695
2036,439.083985,439.8806923,438.2872776
2037,439.5129863,440.2358869,438.7900857
2038,439.8369877,440.4860816,439.1878938
2039,440.0589891,440.6342762,439.4837019
2040,440.1789903,440.6854049,439.6725758
2041,440.1969911,440.6641382,439.729844
2042,440.1389917,440.5718056,439.7061779
2043,440.0269923,440.4254729,439.6285118
2044,439.859993,440.2241403,439.4958457
2045,439.6349936,439.9648076,439.3051796
2046,439.3519943,439.647475,439.0565135
2047,439.0109949,439.2721424,438.7498474
2048,438.6109955,438.8378097,438.3841814
2049,438.1509962,438.3434771,437.9585153
2050,437.6319968,437.7924362,437.4715573
2051,437.0539971,437.1961459,436.9118484
2052,436.4459974,436.5721473,436.3198475
2053,435.8359977,435.9461487,435.7258467
2054,435.219998,435.3141501,435.1258459
2055,434.5969983,434.6751515,434.518845
2056,433.9639986,434.026153,433.9018442
2057,433.3209989,433.3671544,433.2748434
2058,432.6649992,432.6951558,432.6348425
2059,431.9969995,432.0111572,431.9828417
2060,431.3139998,431.3123599,431.3156397
2061,430.617,430.6007696,430.6332304
2062,429.9080003,429.8773806,429.93862
2063,429.1900006,429.1449916,429.2350095
2064,428.4630008,428.4036026,428.5223991
2065,427.7260011,427.6522136,427.7997886
2066,426.9790014,426.8908246,427.0671782
2067,426.2210016,426.1184356,426.3235677
2068,425.4520019,425.3350466,425.5689573
2069,424.6700022,424.5386575,424.8013468
2070,423.8770024,423.7313148,424.0226901
2071,423.0710027,422.9112495,423.2307559
2072,422.254003,422.0802306,422.4277754
2073,421.4250032,421.2372116,421.6127949
2074,420.5840035,420.3821926,420.7858143
2075,419.7310037,419.5151736,419.9468338
2076,418.867004,418.6371547,419.0968533
2077,417.9910043,417.7471357,418.2348728
2078,417.1020045,416.8441167,417.3598923
2079,416.2020048,415.9300977,416.4739118
2080,415.2880051,415.0016564,415.5743537
2081,414.3620054,414.0586809,414.6653298
2082,413.4210057,413.1002831,413.7417283
2083,412.461006,412.1228852,412.7991268
2084,411.4840063,411.1284874,411.8395253
2085,410.4900067,410.1170895,410.8629238
2086,409.477007,409.0866917,409.8673223
2087,408.4480073,408.0402938,408.8557208
2088,407.4010076,406.975896,407.8261193
2089,406.336008,405.8934982,406.7785178
2090,405.2550083,404.7950922,405.7149243
2091,404.1570086,403.6796378,404.6343794
