year,data_mean_global,data_mean_nh,data_mean_sh
2147,971.9648778,1010.762273,933.1674828
2148,971.2578774,1010.046617,932.4691382
2149,970.5458765,1009.325961,931.7657921
2150,969.8268763,1008.598305,931.055448
2151,969.1018756,1007.864647,930.3391044
2152,968.3698748,1007.123992,929.6157571
2153,967.6298749,1006.375339,928.8844107
2154,966.8868752,1005.623682,928.1500682
2155,966.144875,1004.873023,927.4167269
2156,965.4038751,1004.123362,926.6843878
2157,964.6638745,1003.374702,925.9530475
2158,963.9228746,1002.625047,925.2207026
2159,963.1818744,1001.875388,924.4883607
2160,962.4398738,1001.124726,923.7550211
2161,961.6948737,1000.37107,923.0186776
2162,960.9478735,999.6154127,922.2803343
2163,960.1988728,998.8577561,921.5399895
2164,959.4458727,998.0961023,920.7956431
2165,958.6898723,997.3314416,920.048303
2166,957.9298716,996.5627853,919.296958
2167,957.1648718,995.78913,918.5406135
2168,956.3968707,995.0124702,917.7812712
2169,955.6228707,994.2298145,917.0159269
2170,954.8448703,993.4431596,916.246581
2171,954.0628696,992.652504,915.4732352
2172,953.2748694,991.8558475,914.6938912
2173,952.4818687,991.0541913,913.909546
2174,951.6828684,990.2465372,913.1191997
2175,950.878868,989.4338807,912.3238553
2176,950.0698674,988.6162212,911.5235136
2177,949.254867,987.7925658,910.7171681
2178,948.4338664,986.9629106,909.9048222
2179,947.6068662,986.1272539,909.0864785
2180,946.7748653,985.286598,908.2631327
2181,945.9358652,984.4389466,907.4327839
2182,945.0918646,983.586288,906.5974411
2183,944.2418639,982.7276314,905.7560965
2184,943.3848638,981.8619769,904.9077506
2185,942.5228629,980.9913201,904.0544058
2186,941.6538627,980.1136629,903.1940624
2187,940.7788621,979.2300088,902.3277154
2188,939.8978617,978.3403549,901.4553684
2189,939.0108612,977.4446998,900.5770225
2190,938.1178605,976.5430444,899.6926767
2191,937.2178602,975.6343861,898.8013342
2192,936.3118597,974.7197306,897.9039888
2193,935.3998592,973.7990779,897.0006405
2194,934.4818586,972.8724207,896.0912966
2195,933.5578585,971.9397639,895.1759531
2196,932.629858,971.0031068,894.2566091
2197,931.6968575,970.0614524,893.3322627
2198,930.7588574,969.1147968,892.402918
2199,929.8178569,968.1651398,891.4705741
2200,928.8728566,967.2114816,890.5342316
2201,927.9238562,966.2538237,889.5938887
2202,926.9718563,965.2931664,888.6505461
2203,926.0178556,964.3305096,887.7052016
2204,925.0598554,963.3638523,886.7558585
2205,924.0988552,962.3941998,885.8035106
2206,923.135855,961.4225404,884.8491697
2207,922.1708544,960.4488791,883.8928297
2208,921.2018543,959.4712232,882.9324854
2209,920.2308542,958.4915676,881.9701408
2210,919.2578535,957.5099095,881.0057976
2211,918.2818537,956.5252517,880.0384557
2212,917.3038528,955.5385912,879.0691145
2213,916.3218531,954.5479373,878.0957688
2214,915.3388528,953.5562818,877.1214239
2215,914.3548526,952.5636226,876.1460827
2216,913.3708531,951.5709621,875.1707441
2217,912.3908534,950.582301,874.1994057
2218,911.4158533,949.5986381,873.2330685
2219,910.4448535,948.6189763,872.2707308
2220,909.4788538,947.6443178,871.3133898
2221,908.5178535,946.6746592,870.3610479
2222,907.5598536,945.7079961,869.4117112
2223,906.6048536,944.7443356,868.4653717
2224,905.6528537,943.783674,867.5220334
2225,904.7038536,942.8260146,866.5816926
2226,903.7568535,941.8703574,865.6433496
2227,902.8118538,940.9166945,864.7070131
2228,901.8698534,939.9660342,863.7736727
2229,900.9288533,939.0163762,862.8413305
2230,899.9888535,938.0677181,861.9099888
2231,899.0508532,937.1210605,860.9806459
2232,898.1138531,936.1753984,860.0523079
2233,897.1778532,935.2307392,859.1249672
2234,896.2428527,934.2870806,858.1986249
2235,895.3078531,933.3434204,857.2722859
2236,894.3748527,932.4017593,856.3479461
2237,893.4418525,931.4601055,855.4235995
2238,892.5088527,930.5184458,854.4992596
2239,891.5768522,929.5777847,853.5759197
2240,890.6448525,928.6371267,852.6525783
2241,889.7138518,927.6974681,851.7302356
2242,888.7818522,926.7568109,850.8068935
2243,887.8508517,925.8171495,849.8845539
2244,886.919852,924.8774895,848.9622145
2245,885.9898514,923.9388307,848.040872
2246,885.0588515,922.9991758,847.1185272
2247,884.1278513,922.0595154,846.1961871
2248,883.1968512,921.1198556,845.2738469
2249,882.2668513,920.1811984,844.3525043
2250,881.3358495,919.2426216,843.4290774
2251,880.4048563,918.3105427,842.4991699
2252,879.5208654,917.4265136,841.6152172
2253,878.7238683,916.6294637,840.8182729
2254,878.0068724,915.9124253,840.1013196
2255,877.3618749,915.2673878,839.4563619
2256,876.7798787,914.6853572,838.8744002
2257,876.2578804,914.1633254,838.3524354
2258,875.7868833,913.692301,837.8814656
2259,875.3638853,913.2692758,837.4584947
2260,874.9838871,912.8892544,837.0785197
2261,874.6418889,912.5472353,836.7365425
2262,874.3348903,912.2402174,836.4295633
2263,874.0588918,911.9642019,836.1535816
2264,873.8108929,911.7161876,835.9055983
2265,873.5878941,911.4931751,835.6826131
2266,873.3878952,911.2931634,835.482627
2267,873.208896,911.1141527,835.3036393
2268,873.0478967,910.9531437,835.1426497
2269,872.9028978,910.8081359,834.9976597
2270,872.7738982,910.6791272,834.8686692
2271,872.6578989,910.5631212,834.7526765
2272,872.5538994,910.4591149,834.648684
2273,872.4608997,910.3661092,834.5556901
2274,872.3769006,910.2821052,834.4716959
2275,872.3029004,910.2080991,834.3977017
2276,872.2359013,910.1410969,834.3307057
2277,872.176901,910.0820914,834.2717106
2278,872.1229019,910.0280905,834.2177133
2279,872.0759016,909.9810852,834.170718
2280,872.0329022,909.9380849,834.1277195
2281,871.9949022,909.900081,834.0897234
2282,871.9609026,909.86608,834.0557252
2283,871.9309026,909.8360772,834.0257279
2284,871.9039028,909.8090763,833.9987293
2285,871.8799028,909.7850742,833.9747313
2286,871.8579031,909.7630739,833.9527323
2287,871.8389031,909.7440716,833.9337346
2288,871.8219031,909.7270711,833.916735
2289,871.8059033,909.7110706,833.900736
2290,871.7919034,909.6970694,833.8867374
2291,871.7799034,909.6850683,833.8747384
2292,871.7689035,909.6740681,833.8637388
2293,871.7589033,909.6640672,833.8537394
2294,871.7489037,909.654068,833.8437394
2295,871.7409034,909.6460657,833.8357411
2296,871.7329036,909.6380672,833.8277401
2297,871.7259037,909.6310654,833.8207419
2298,871.7199034,909.6250655,833.8147413
2299,871.7129037,909.6180663,833.8077411
2300,871.7069038,909.612065,833.8017426
2301,871.7019034,909.6070651,833.7967418
2302,871.6959037,909.6010656,833.7907419
2303,871.6909037,909.5960647,833.7857427
2304,871.6859035,909.5910651,833.7807419
2305,871.6799037,909.5850657,833.7747418
2306,871.6749037,909.5800646,833.7697429
2307,871.6699034,909.5750652,833.7647415
2308,871.6639038,909.5690654,833.7587423
2309,871.6589035,909.5640648,833.7537421
2310,871.6529035,909.5580657,833.7477414
2311,871.6469037,909.5520652,833.7417422
2312,871.6409033,909.5460657,833.735741
2313,871.6339038,909.539066,833.7287416
2314,871.6279034,909.5330653,833.7227416
2315,871.6209034,909.5260661,833.7157406
2316,871.6129035,909.5180665,833.7077405
2317,871.6049034,909.5100665,833.6997404
2318,871.5969035,909.5020664,833.6917406
2319,871.5889033,909.4940664,833.6837402
2320,871.5799033,909.4850671,833.6747394
2321,871.5699033,909.4750676,833.664739
2322,871.5599034,909.4650674,833.6547394
2323,871.5499032,909.4550675,833.6447388
2324,871.5389034,909.4440681,833.6337386
2325,871.5279032,909.4330679,833.6227385
2326,871.515903,909.4210687,833.6107374
2327,871.5029033,909.4080691,833.5977375
2328,871.489903,909.395069,833.5847369
2329,871.4759032,909.3810697,833.5707367
2330,871.461903,909.3670695,833.5567365
2331,871.4469029,909.3520702,833.5417356
2332,871.4309031,909.3360707,833.5257355
2333,871.4149028,909.3200705,833.5097352
2334,871.3979029,909.3030712,833.4927346
2335,871.3799027,909.2850717,833.4747337
2336,871.3609029,909.2660722,833.4557336
2337,871.3419027,909.247072,833.4367333
2338,871.3219027,909.2270727,833.4167326
2339,871.3009026,909.2060732,833.395732
2340,871.2789026,909.1840737,833.3737314
2341,871.2559025,909.1610742,833.3507307
2342,871.2319025,909.1370747,833.3267302
2343,871.2069023,909.1120752,833.3017293
2344,871.1809026,909.0860758,833.2757293
2345,871.1549021,909.0600755,833.2497287
2346,871.1269023,909.032077,833.2217275
2347,871.0979021,909.0030772,833.192727
2348,871.0679021,908.9730778,833.1627264
2349,871.036902,908.9420783,833.1317257
2350,871.0049021,908.9100789,833.0997253
2351,870.9729022,908.8780788,833.0677256
2352,870.9419024,908.8470782,833.0367265
2353,870.9119021,908.8170776,833.0067266
2354,870.8819025,908.787078,832.9767271
2355,870.8539026,908.7590765,832.9487287
2356,870.8289031,908.7340752,832.9237311
2357,870.8079029,908.7130726,832.9027331
2358,870.7889033,908.6940723,832.8837343
2359,870.7729034,908.6780703,832.8677365
2360,870.7599035,908.6650689,832.8547381
2361,870.7489033,908.6540678,832.8437388
2362,870.7389039,908.6440678,832.83374
2363,870.7319036,908.6370654,832.8267417
2364,870.7259037,908.6310656,832.8207418
2365,870.7209039,908.6260649,832.815743
2366,870.7179039,908.6230637,832.812744
2367,870.715904,908.6210635,832.8107445
