#,VARIABLE,ORDER,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
SPO,1975,7,1,0,0,0,1975-07-01T00:00:00Z,1975.49589,174718800,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1975,8,1,0,0,0,1975-08-01T00:00:00Z,1975.580822,177397200,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1975,9,1,0,0,0,1975-09-01T00:00:00Z,1975.665753,180075600,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1975,10,1,0,0,0,1975-10-01T00:00:00Z,1975.747945,182667600,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1975,11,1,0,0,0,1975-11-01T00:00:00Z,1975.832877,185346000,330.6,0.72,12,-89.98,-24.8,2820,2810,10,...
SPO,1975,12,1,0,0,0,1975-12-01T00:00:00Z,1975.915068,187938000,329.72,0.09,30,-89.98,-24.8,2820,2810,10,...
SPO,1976,1,1,0,0,0,1976-01-01T00:00:00Z,1976,190616400,329.44,0.08,31,-89.98,-24.8,2820,2810,10,...
SPO,1976,2,1,0,0,0,1976-02-01T00:00:00Z,1976.084699,193294800,329.21,0.13,29,-89.98,-24.8,2820,2810,10,...
SPO,1976,3,1,0,0,0,1976-03-01T00:00:00Z,1976.163934,195800400,329.06,0.13,31,-89.98,-24.8,2820,2810,10,...
SPO,1976,4,1,0,0,0,1976-04-01T00:00:00Z,1976.248634,198478800,329.04,0.04,30,-89.98,-24.8,2820,2810,10,...
SPO,1976,5,1,0,0,0,1976-05-01T00:00:00Z,1976.330601,201070800,329.1,0.05,31,-89.98,-24.8,2820,2810,10,...
SPO,1976,6,1,0,0,0,1976-06-01T00:00:00Z,1976.415301,203749200,329.33,0.12,30,-89.98,-24.8,2820,2810,10,...
SPO,1976,7,1,0,0,0,1976-07-01T00:00:00Z,1976.497268,206341200,329.69,0.11,31,-89.98,-24.8,2820,2810,10,...
SPO,1976,8,1,0,0,0,1976-08-01T00:00:00Z,1976.581967,209019600,330.13,0.13,31,-89.98,-24.8,2820,2810,10,...
SPO,1976,9,1,0,0,0,1976-09-01T00:00:00Z,1976.666667,211698000,330.48,0.1,30,-89.98,-24.8,2820,2810,10,...
SPO,1976,10,1,0,0,0,1976-10-01T00:00:00Z,1976.748634,214290000,330.52,0.07,31,-89.98,-24.8,2820,2810,10,...
SPO,1976,11,1,0,0,0,1976-11-01T00:00:00Z,1976.833333,216968400,330.6,0.23,29,-89.98,-24.8,2820,2810,10,...
SPO,1976,12,1,0,0,0,1976-12-01T00:00:00Z,1976.915301,219560400,330.63,0.12,20,-89.98,-24.8,2820,2810,10,...
SPO,1977,1,1,0,0,0,1977-01-01T00:00:00Z,1977,222238800,330.29,0.12,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,2,1,0,0,0,1977-02-01T00:00:00Z,1977.084932,224917200,331.11,0.45,26,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,3,1,0,0,0,1977-03-01T00:00:00Z,1977.161644,227336400,330.95,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,4,1,0,0,0,1977-04-01T00:00:00Z,1977.246575,230014800,331.01,0.05,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,5,1,0,0,0,1977-05-01T00:00:00Z,1977.328767,232606800,331.13,0.09,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,6,1,0,0,0,1977-06-01T00:00:00Z,1977.413699,235285200,331.35,0.08,24,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,7,1,0,0,0,1977-07-01T00:00:00Z,1977.49589,237877200,331.63,0.09,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,8,1,0,0,0,1977-08-01T00:00:00Z,1977.580822,240555600,331.98,0.08,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,9,1,0,0,0,1977-09-01T00:00:00Z,1977.665753,243234000,332.33,0.1,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,10,1,0,0,0,1977-10-01T00:00:00Z,1977.747945,245826000,332.62,0.12,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,11,1,0,0,0,1977-11-01T00:00:00Z,1977.832877,248504400,332.59,0.11,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1977,12,1,0,0,0,1977-12-01T00:00:00Z,1977.915068,251096400,332.31,0.1,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,1,1,0,0,0,1978-01-01T00:00:00Z,1978,253774800,332.06,0.07,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,2,1,0,0,0,1978-02-01T00:00:00Z,1978.084932,256453200,331.92,0.1,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,3,1,0,0,0,1978-03-01T00:00:00Z,1978.161644,258872400,331.94,0.12,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,4,1,0,0,0,1978-04-01T00:00:00Z,1978.246575,261550800,332.3,0.16,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,5,1,0,0,0,1978-05-01T00:00:00Z,1978.328767,264142800,332.85,0.16,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,6,1,0,0,0,1978-06-01T00:00:00Z,1978.413699,266821200,333.41,0.14,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,7,1,0,0,0,1978-07-01T00:00:00Z,1978.49589,269413200,333.82,0.12,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,8,1,0,0,0,1978-08-01T00:00:00Z,1978.580822,272091600,334.45,0.29,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,9,1,0,0,0,1978-09-01T00:00:00Z,1978.665753,274770000,334.69,0.08,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,10,1,0,0,0,1978-10-01T00:00:00Z,1978.747945,277362000,334.7,0.08,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,11,1,0,0,0,1978-11-01T00:00:00Z,1978.832877,280040400,334.53,0.08,19,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1978,12,1,0,0,0,1978-12-01T00:00:00Z,1978.915068,282632400,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,1,1,0,0,0,1979-01-01T00:00:00Z,1979,285310800,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,2,1,0,0,0,1979-02-01T00:00:00Z,1979.084932,287989200,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,3,1,0,0,0,1979-03-01T00:00:00Z,1979.161644,290408400,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,4,1,0,0,0,1979-04-01T00:00:00Z,1979.246575,293086800,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,5,1,0,0,0,1979-05-01T00:00:00Z,1979.328767,295678800,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,6,1,0,0,0,1979-06-01T00:00:00Z,1979.413699,298357200,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,7,1,0,0,0,1979-07-01T00:00:00Z,1979.49589,300949200,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,8,1,0,0,0,1979-08-01T00:00:00Z,1979.580822,303627600,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,9,1,0,0,0,1979-09-01T00:00:00Z,1979.665753,306306000,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,10,1,0,0,0,1979-10-01T00:00:00Z,1979.747945,308898000,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,11,1,0,0,0,1979-11-01T00:00:00Z,1979.832877,311576400,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1979,12,1,0,0,0,1979-12-01T00:00:00Z,1979.915068,314168400,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1980,1,1,0,0,0,1980-01-01T00:00:00Z,1980,316846800,336.14,0.1,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,2,1,0,0,0,1980-02-01T00:00:00Z,1980.084699,319525200,335.95,0.1,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,3,1,0,0,0,1980-03-01T00:00:00Z,1980.163934,322030800,336.01,0.08,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,4,1,0,0,0,1980-04-01T00:00:00Z,1980.248634,324709200,336.22,0.09,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,5,1,0,0,0,1980-05-01T00:00:00Z,1980.330601,327301200,336.58,0.08,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,6,1,0,0,0,1980-06-01T00:00:00Z,1980.415301,329979600,336.92,0.23,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,7,1,0,0,0,1980-07-01T00:00:00Z,1980.497268,332571600,337.36,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,8,1,0,0,0,1980-08-01T00:00:00Z,1980.581967,335250000,337.65,0.09,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,9,1,0,0,0,1980-09-01T00:00:00Z,1980.666667,337928400,337.89,0.08,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,10,1,0,0,0,1980-10-01T00:00:00Z,1980.748634,340520400,338.08,0.06,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,11,1,0,0,0,1980-11-01T00:00:00Z,1980.833333,343198800,338.03,0.06,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1980,12,1,0,0,0,1980-12-01T00:00:00Z,1980.915301,345790800,338.09,0.09,26,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,1,1,0,0,0,1981-01-01T00:00:00Z,1981,348469200,337.85,0.2,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,2,1,0,0,0,1981-02-01T00:00:00Z,1981.084932,351147600,337.92,0.16,27,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,3,1,0,0,0,1981-03-01T00:00:00Z,1981.161644,353566800,338.08,0.06,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,4,1,0,0,0,1981-04-01T00:00:00Z,1981.246575,356245200,338.1,0.04,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,5,1,0,0,0,1981-05-01T00:00:00Z,1981.328767,358837200,338.24,0.08,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,6,1,0,0,0,1981-06-01T00:00:00Z,1981.413699,361515600,338.52,0.11,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,7,1,0,0,0,1981-07-01T00:00:00Z,1981.49589,364107600,338.95,0.15,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,8,1,0,0,0,1981-08-01T00:00:00Z,1981.580822,366786000,339.13,0.1,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,9,1,0,0,0,1981-09-01T00:00:00Z,1981.665753,369464400,339.38,0.15,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,10,1,0,0,0,1981-10-01T00:00:00Z,1981.747945,372056400,339.25,0.11,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,11,1,0,0,0,1981-11-01T00:00:00Z,1981.832877,374734800,339.05,0.07,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1981,12,1,0,0,0,1981-12-01T00:00:00Z,1981.915068,377326800,338.87,0.39,22,-89.98,-24.8,2823.5,2810,13.5,...
